GENESIS-Tabelle: Temporär
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2014;03403;Oldenburg (Oldenburg), kreisfreie Stadt;2214;1885;2528;3369;2178;1515;5245;6472;5612;5174;5203;6562;6054;5257;4348;7263;5619;2001;1992;2634;3519;2304;1842;6257;7185;6040;4775;5077;6770;6490;5354;4637;8254;9278
31.12.2014;03404;Osnabrück, kreisfreie Stadt;2118;1683;2236;3356;2213;1673;6096;6989;6012;4816;5064;6111;5619;4929;3996;6494;6014;2021;1912;2552;3004;1928;1621;6763;6881;5807;4672;5010;6045;5774;5070;4445;7718;10255
31.12.2014;03405;Wilhelmshaven, kreisfreie Stadt;845;819;1177;1503;1059;803;3011;2936;1904;1694;1902;2898;2999;2592;2265;4562;3899;788;727;968;1449;1070;759;2519;2199;1787;1691;2016;3018;3137;2627;2570;5264;6077
31.12.2014;03451;Ammerland, Landkreis;1478;1562;2240;3306;2157;1426;3256;2938;2971;3157;3922;5397;5127;4158;3759;6461;5374;1482;1450;2054;3149;2118;1251;2914;2791;3195;3249;4021;5307;5291;4358;4046;7033;7519
31.12.2014;03452;Aurich, Landkreis;2326;2369;3509;5056;3570;2328;5437;4985;4860;4909;6179;8165;7762;6493;6179;10603;7602;2178;2195;3114;4938;3408;2225;4763;4572;4697;4922;6468;8029;7971;7158;6613;10984;11431
31.12.2014;03453;Cloppenburg, Landkreis;2551;2560;3625;5245;3556;2284;5693;5453;5264;4869;5636;7007;6884;5577;4517;5895;5210;2381;2431;3372;5006;3257;2176;5029;4828;4786;4527;5230;6625;6530;5433;4283;6369;8261
31.12.2014;03454;Emsland, Landkreis;4353;4350;6319;8980;6109;4061;10439;10498;9911;9778;11204;14056;13466;11332;9499;14267;11268;4107;4106;5910;8534;5769;3736;8954;9099;8884;8716;10328;12877;12618;10954;9409;14808;17058
31.12.2014;03455;Friesland, Landkreis;1079;1171;1604;2501;1776;1143;2581;2134;2095;2238;2911;4248;4159;3380;3258;6092;4822;1048;1008;1429;2349;1757;1052;2209;2108;2211;2452;3054;4413;4423;3526;3437;6422;6847
31.12.2014;03456;Grafschaft Bentheim, Landkreis;1874;1923;2660;3768;2622;1712;4037;3859;3734;3653;4420;5920;5852;4826;4171;6354;5474;1764;1761;2444;3627;2546;1560;3670;3470;3754;3592;4467;5846;5490;4674;4227;6554;8024
31.12.2014;03457;Leer, Landkreis;2164;2136;3073;4552;3116;2040;4925;4965;4817;4647;5680;7313;6970;5638;5157;8576;6467;2068;2045;2965;4491;3062;1903;4483;4311;4447;4254;5566;6956;6861;5922;5272;9058;9909
31.12.2014;03458;Oldenburg, Landkreis;1540;1691;2389;3577;2396;1505;3397;3156;3208;3336;4179;6226;5978;4815;3905;6452;5314;1514;1490;2163;3317;2297;1421;3046;2904;3058;3516;4480;6061;5867;4557;4020;6669;7354
31.12.2014;03459;Osnabrück, Landkreis;4773;4722;6819;9804;6867;4437;10689;9980;9426;9653;11530;15316;15628;13025;10846;15804;14317;4466;4609;6539;9581;6327;4107;9203;9002;9295;9714;11752;15090;15286;12834;10778;17003;22094
31.12.2014;03460;Vechta, Landkreis;2200;2097;2911;4243;2787;1819;4959;4971;4355;4099;4605;5974;5844;4621;3794;4972;4211;2004;1925;2711;3941;2647;1848;4730;4413;4086;4181;4522;5500;5451;4388;3604;5135;6636
31.12.2014;03461;Wesermarsch, Landkreis;1028;1069;1542;2347;1740;1078;2701;2340;2158;2173;2764;4010;4048;3264;2960;4946;4033;933;882;1422;2244;1617;1029;2181;2030;2020;2225;2794;3828;3998;3309;2992;5092;5968
31.12.2014;03462;Wittmund, Landkreis;687;680;971;1455;1026;635;1586;1411;1372;1398;1871;2334;2385;1992;1935;3377;2508;603;663;986;1498;1116;656;1403;1322;1375;1409;1808;2314;2409;2202;1999;3384;3769
31.12.2014;04011;Bremen, kreisfreie Stadt;7389;6748;9008;11762;7964;5740;18321;21308;20288;17336;17831;22422;21339;17930;15237;27428;21994;6998;6163;8224;10875;7250;5400;18212;20485;18774;16573;17141;21649;21045;18570;16743;30966;36654
31.12.2014;04012;Bremerhaven, kreisfreie Stadt;1517;1440;1985;2565;1674;1185;3559;3885;3716;3418;3564;4183;4200;3696;3224;5889;4722;1457;1403;1918;2507;1680;1159;3213;3303;3137;2750;3091;4000;4454;4180;3842;6287;7318
31.12.2014;05111;Düsseldorf, kreisfreie Stadt;9202;8314;10365;12330;7354;5096;15741;21142;24457;21603;21788;26621;23863;18385;15162;26645;23290;8735;7966;9900;11485;6856;4947;17979;24567;25996;22219;20895;23225;22070;19637;17520;32113;37059
31.12.2014;05112;Duisburg, kreisfreie Stadt;6461;6227;8517;11686;7812;5268;15619;15674;15391;14204;15755;20229;20129;17328;14074;21982;20957;6206;6099;8173;10955;7078;5045;14691;15592;14794;14350;15741;18887;19217;17186;15355;25575;33208
31.12.2014;05113;Essen, kreisfreie Stadt;7600;6920;9665;12217;8022;5471;17613;19973;18436;16978;18137;23839;23102;19921;16984;27474;24216;7254;6806;9250;12017;7538;5678;18005;19777;19611;16753;17704;22080;22257;20777;18523;32288;40898
31.12.2014;05114;Krefeld, kreisfreie Stadt;2840;2732;3824;5377;3475;2289;6023;6786;6597;5941;6876;9650;9531;8102;6510;11239;9761;2673;2735;3892;5217;3424;2341;6400;6533;6098;6360;7137;9590;9254;8271;7273;12819;14930
31.12.2014;05116;Mönchengladbach, kreisfreie Stadt;3378;3041;4394;6263;4120;2946;8151;8620;7944;6916;7727;10722;10802;9419;7796;12612;10592;3208;3026;4140;5660;3738;2580;7724;8284;7551;7251;8007;10671;11211;9660;8321;13957;16421
31.12.2014;05117;Mülheim an der Ruhr, kreisfreie Stadt;2097;2045;2645;3822;2422;1692;4548;4834;4727;4226;4939;6658;6856;6191;5261;8676;8216;1989;2023;2755;3483;2230;1530;4066;4539;4634;4677;5454;7412;7263;6336;5790;10344;12728
31.12.2014;05119;Oberhausen, kreisfreie Stadt;2590;2633;3579;4665;3160;2182;6033;6211;6391;6205;6789;8845;9044;7866;6823;10166;8877;2442;2287;3135;4522;3112;2140;6060;6210;6400;5857;6167;8573;8946;8291;7258;11428;14405
31.12.2014;05120;Remscheid, kreisfreie Stadt;1377;1383;1935;2569;1668;1126;3062;3089;2934;2852;3420;4894;4946;4049;3355;5828;4775;1329;1197;1761;2571;1776;1182;2967;2865;2982;3102;3509;4637;4611;4026;3414;6442;7376
31.12.2014;05122;Solingen, kreisfreie Stadt;2080;2042;2910;3879;2681;1767;4256;4288;4719;4402;4926;6649;6783;5639;4410;7401;6793;1918;1950;2736;3711;2430;1700;4484;4612;4426;4230;5000;7157;7099;5761;4553;8293;11086
31.12.2014;05124;Wuppertal, kreisfreie Stadt;4668;4537;6252;8036;5240;3611;10839;11931;11509;9768;10800;14426;14215;11676;9411;16658;14160;4302;4265;5768;7853;5090;3536;10618;10726;10429;9624;10802;14199;14385;12391;10671;19302;23727
31.12.2014;05154;Kleve, Landkreis;3918;3955;5575;7751;5301;3729;9670;9026;8697;8266;9700;13680;13809;11582;9866;14570;11878;3770;3583;5229;7582;5070;3456;8350;8339;8490;8080;9763;13750;13500;11363;9988;15594;18083
31.12.2014;05158;Mettmann, Landkreis;6039;5856;8281;11779;7669;5141;11763;11400;11944;12050;14610;21031;21122;17719;14530;25322;23553;5823;5619;8315;10838;7151;4508;11178;11681;12973;13036;15551;21983;21512;17900;15701;30405;33777
31.12.2014;05162;Rhein-Kreis Neuss;5977;6014;8395;11417;7313;4703;11369;11183;11651;12442;14374;19818;19241;16450;13154;21640;19317;5639;5396;7516;10457;6977;4388;10303;11378;13140;13441;14977;20237;19398;16597;14509;25484;28227
