"","district.ID","numb.ini","district.name","males","females","total","males.per","females.per","gender.ratio","young","medium","old","young.per","medium.per","abitur.per","nodegree.per","unemployment","GDP.cap","pop.dens","refugees","east","refugee.ratio"
"67",5113,2,"Essen, kreisfreie Stadt",276568,297216,573784,0.482007166459852,0.517992833540147,0.930528639104221,173806,259372,160383,0.302911897159907,0.452037700598134,51.1,5.8,12.4,41118,2709.3,2686,0,0.00468120407679545
"68",5114,1,"Krefeld, kreisfreie Stadt",107553,114947,222500,0.483384269662921,0.516615730337079,0.935674702254082,66561,99940,62532,0.299150561797753,0.449168539325843,44.1,5.6,11.2,33509,1611.7,687,0,0.0030876404494382
"69",5116,1,"Mönchengladbach, kreisfreie Stadt",125443,131410,256853,0.488384406645046,0.511615593354954,0.954592496765847,79273,116165,69699,0.308631785495984,0.452262578206211,45.5,7.1,11.4,29474,1498.6,731,0,0.00284598583625654
"70",5117,2,"Mülheim an der Ruhr, kreisfreie Stadt",79855,87253,167108,0.477864614500802,0.522135385499198,0.915212084398244,46720,73912,51015,0.279579673025828,0.442300787514661,54.8,3.4,7.9,36410,1825.6,715,0,0.00427867008162386
"71",5119,3,"Oberhausen, kreisfreie Stadt",102059,107233,209292,0.487639279093324,0.512360720906676,0.951749927727472,60961,95584,58957,0.291272480553485,0.456701641725436,44.6,4.7,12,24284,2712,511,0,0.00244156489497926
"72",5120,0,"Remscheid, kreisfreie Stadt",53262,55747,109009,0.488601858562137,0.511398141437863,0.955423610239116,31857,48827,31190,0.292241924978671,0.447917144455962,44.2,2.8,8.7,33576,1462.1,311,0,0.00285297544239466
"73",5122,0,"Solingen, kreisfreie Stadt",75625,81146,156771,0.482391513736597,0.517608486263403,0.931962142311389,47444,71403,42536,0.302632502184715,0.455460512467229,48.5,4.4,9.4,26075,1739.6,655,0,0.00417806864790044
"74",5124,3,"Wuppertal, kreisfreie Stadt",167737,177688,345425,0.485596004921474,0.514403995078526,0.943997343658548,107272,154950,93929,0.310550770789607,0.448577838894116,46.7,4.9,10.8,30402,2039.8,2055,0,0.0059491930230875
"75",5154,2,"Kleve, Landkreis",150973,153990,304963,0.495053498293236,0.504946501706764,0.980407818689525,94304,139019,79979,0.309230955886452,0.455855300479075,39.7,5.5,6.7,24657,245.5,929,0,0.00304627118699646
"76",5158,1,"Mettmann, Landkreis",229809,247951,477760,0.481013479571333,0.518986520428667,0.92683231767567,133041,213112,143288,0.278468268586738,0.446064969859344,43.4,4.4,6.9,32465,1170.5,1604,0,0.00335733422638982
"77",5162,2,"Rhein-Kreis Neuss",214458,228064,442522,0.484626753020189,0.515373246979811,0.940341307703101,128425,203144,122331,0.290211560103227,0.459059662570449,50.5,3.4,6.5,33412,764.2,1197,0,0.00270495026235984
"78",5166,0,"Viersen, Landkreis",143430,151637,295067,0.486092989049945,0.513907010950055,0.945877325454869,85426,135186,81560,0.28951390701095,0.458153571900619,49.1,4.3,7.2,24722,523.6,837,0,0.00283664388088129
"79",5170,3,"Wesel, Landkreis",222207,235037,457244,0.485970291572989,0.514029708427011,0.945412849891719,129393,207081,132673,0.282984577162303,0.452889485701289,45.7,4.3,7.7,24747,438.3,1372,0,0.00300058612032088
"80",5314,4,"Bonn, kreisfreie Stadt",148779,165179,313958,0.473881856808873,0.526118143191127,0.900713771121026,107210,146130,73364,0.341478796526924,0.465444422502373,56.8,2.8,7.2,59562,2206.8,850,0,0.00270736850151931
"81",5315,6,"Köln, kreisfreie Stadt",508829,537851,1046680,0.486136163870524,0.513863836129476,0.946040817996062,340534,515061,236442,0.325346810868651,0.49209022814996,47.8,4.3,9.6,47267,2553.5,4731,0,0.00452000611457179
